coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,dha_epa,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd
01.1.2.1/22/23/24,58,Daging segar lainnya,DAGING,tkpi,FR004; FR012; FR013; FR014; FR020; FR021; FR022; FR034,209.875,15.425,15.675,0,1.65,0.3499999999999999,1.0125,136.5,0,0.1675,0.305,4.13875,0,13.625,0.5185714285714286,3.1875,206.5,254,77.125,2.6142857142857143,90
01.1.2.5,59,Daging diawetkan lainnya,DAGING,tkpi,FP004; FP005; FP006; FP008; FP010; FP011; FP012; FP014; FP018,370.44444444444446,37.55555555555556,17.61111111111111,0,21.033333333333335,3.333333333333333,5.611111111111111,929.4285714285712,92,0.275,0.95,3.3666666666666667,0,91.22222222222224,0.7016666666666667,9.766666666666667,331.55555555555554,802.2166666666667,678.5,5.383333333333333,100
01.1.2.1.005,60,"Tetelan, sandung lamur",DAGING,tkpi,FR024,273,17.5,22,0,0,0,0.5,12,0,0.08,0.18,7.3,0,10,0.17,2.6,150,267,93,6.4,100
01.1.2.7,61,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",DAGING,tkpi,FR006; FR007; FR010; FR011; FR018; FR023; FR027; FR028; FR029; FR030; FR031; FR032; FR033,128.15384615384616,16.53076923076923,6.315384615384615,0,1.276923076923077,0,1.3384615384615384,2020.5,169.91666666666666,0.2815384615384615,1.1083333333333334,4.608461538461539,10.09090909090909,22.692307692307693,0.4211111111111111,6.199999999999999,211.6153846153846,233.85833333333335,239.83333333333331,1.38,100
,62,TELUR DAN SUSU,TELUR DAN SUSU,food_category,,,,,,,,,,,,,,,,,,,,,,0
01.1.4.7.002,63,Telur ayam ras,TELUR DAN SUSU,tkpi,HR002,154,12.4,10.8,0,0.7,0,0.8,61,22,0.12,0.38,0.2,0,86,0.16,3,258,118.5,142,1,89
01.1.4.7.001,64,Telur ayam kampung,TELUR DAN SUSU,tkpi,HR001,174,10.8,14,0,1.2,0,0.9,203,23,0.78,0.62,0.2,0,68,0.6,4.9,268,141,190,1.5,87
01.1.4.7.003,65,Telur itik/telur itik manila,TELUR DAN SUSU,tkpi,HR005; HR008,187,11.35,13.3,0,5.45,0,1.05,279,454,1.585,0.2,0.1,0,62,0.5,5.7,281.5,113,162,1.75,90
01.1.4.7.005/11111003/01147004,66,"Telur lainnya (telur puyuh, telur asin mentah maupun matang, telur penyu, telur angsa, dsb)",TELUR DAN SUSU,tkpi,HP002; HR009; HR010; HR011,216.75,14.85,16.675,0,2.2750000000000004,0,1.275,1104.25,36.666666666666664,0.2066666666666667,0.6625,0.225,0,101.25,0.31666666666666665,3.25,187.5,149.775,287.25,1.8333333333333333,91
01.1.4.3.003,67,Susu cair pabrik,TELUR DAN SUSU,tkpi,JR006,61,3.2,3.5,0,4.3,0,0.7,39,12,0.03,0.18,0.2,1,143,0.02,1.7,60,149,36,0.3,100
01.1.4.3.005,68,Susu kental manis,TELUR DAN SUSU,tkpi,JP007,343,8.2,10,0,55,0,1.8,155,46,0.05,0.43,0.4,1,275,0.02,0.2,209,320,150,1,100
01.1.4.3.001/2,69,Susu bubuk,TELUR DAN SUSU,tkpi,JP006,513,24.6,30,0,36.2,0,5.7,476,118,0.29,1.39,1.6,6,904,0.02,0.6,694,1330,380,4.1,100
01.1.4.3.007,70,Susu bubuk bayi,TELUR DAN SUSU,tkpi,JP005,418,19,9,0,65.5,0,4,303,83,1,1.31,0.7,30,800,0,7,600,486.5,188,0,100
01.1.4.1/45/46,71,Susu lainnya dan hasil lain dari susu,TELUR DAN SUSU,tkpi,JP002; JP003; JP004; JP008; JP009; JP010; JP011; JR002; JR003; JR004; JR005,140.36363636363637,10.48181818181818,6.218181818181818,0,10.60909090909091,0,2.136363636363636,86.42857142857142,22.25,0.06,0.34222222222222226,0.26666666666666666,1.7142857142857142,339.1,0.05374999999999999,0.63,248.9,346.1333333333333,239.30000000000004,1.1,100
,72,SAYUR-SAYURAN,SAYUR-SAYURAN,food_category,,,,,,,,,,,,,,,,,,,,,,0
01.1.7.1.012,73,Bayam,SAYUR-SAYURAN,tkpi,DR008; DR009,28.5,1.55,0.6000000000000001,0,4.6,1.4500000000000002,1.75,0,5012,0.12,0.1,0.55,51.5,343,0.165,5.25,78,258.2,17.9,0.6000000000000001,71
01.1.7.1.014,74,Kangkung,SAYUR-SAYURAN,tkpi,DR100; DR101,35.5,2.6,0.45,0,6.15,3.15,1.05,0,2804.5,0.43500000000000005,0.23,1.55,20,69.5,0.215,1.5,31.5,305.55,47.45,0.4,60
01.1.7.2.001/2/3,75,Kol/kubis,SAYUR-SAYURAN,tkpi,DR044; DR114,40,1.95,0.65,0,6.65,2.65,1.55,0,5022.5,0.23,0.085,0.25,33,73,0.595,1.95,40.5,168.4,39.15,0.45,75
01.1.7.1.016,76,Sawi putih (petsai),SAYUR-SAYURAN,tkpi,DR142,9,1,0.1,0,1.7,0.8,0.6,0,862,0.05,0.18,0.4,3,56,0.05,1.1,42,193.1,5,0.1,79
01.1.7.1.015,77,Sawi hijau,SAYUR-SAYURAN,tkpi,DR042; DR129; DR141; DR143; DR144,26.4,1.98,0.4,0,3.92,2.02,1.08,0,1515.6,0.14400000000000002,0.14600000000000002,0.42,37.2,134.4,0.104,2.4,52.6,256.94,21.06,0.38,85.8
01.1.7.3.003,78,Buncis,SAYUR-SAYURAN,tkpi,DR013,34,2.4,0.3,0,7.2,1.9,0.5,0,772,0.05,0.4,2.8,11,101,0.07,0.7,42,250,8,0.3,90
01.1.7.3.008,79,Kacang panjang,SAYUR-SAYURAN,tkpi,DR097,31,2.3,0.1,0,5.3,2.7,0.5,0,125,0.7,0.1,0.3,46,60,0.1,0.6,64,213,30,0.5,92
