coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd,water,total_carotene,enerct_kj,sum_of_proximates_g,oth_car_mcg,va_rae_mcg,vit_b6_mg,folate_mg,vit_b12_mg,vit_d_mg
01.1.4.3.005,68,Susu kental manis,TELUR DAN SUSU,tkpi,JP007,343,8.2,10,55,0,1.8,155,46,0.05,0.43,0.4,1,275,0.02,0.2,209,320,150,1,100,25,,,,,,,,,
01.1.4.3.001/2,69,Susu bubuk,TELUR DAN SUSU,tkpi,JP006,513,24.6,30,36.2,0,5.7,476,118,0.29,1.39,1.6,6,904,0.02,0.6,694,1330,380,4.1,100,3.5,,,,,,,,,
01.1.4.3.007,70,Susu bubuk bayi,TELUR DAN SUSU,tkpi,JP005,418,19,9,65.5,0,4,303,83,1,1.31,0.7,30,800,0,7,600,486.5,188,0,100,2.5,,,,,,,,,
01.1.4.1/45/46,71,Susu lainnya dan hasil lain dari susu,TELUR DAN SUSU,tkpi,JP002; JP003; JP004; JP008; JP009; JP010; JP011; JR002; JR003; JR004; JR005,140.36363636363637,10.48181818181818,6.218181818181818,10.60909090909091,0,2.1363636363636362,86.42857142857142,22.25,0.06,0.34222222222222226,0.26666666666666666,1.7142857142857142,339.1,0.05374999999999999,0.63,248.9,346.1333333333333,239.30000000000004,1.1,100,70.54545454545455,,,,,,,,,
,72,SAYUR-SAYURAN,SAYUR-SAYURAN,food_category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1.7.1.012,73,Bayam,SAYUR-SAYURAN,tkpi,DR008; DR009,28.5,1.55,0.6000000000000001,4.6,1.4500000000000002,1.75,0,5012,0.12,0.1,0.55,51.5,343,0.165,5.25,78,258.2,17.9,0.6000000000000001,71,91.5,2293,,,,,,,,
01.1.7.1.014,74,Kangkung,SAYUR-SAYURAN,tkpi,DR100; DR101,35.5,2.6,0.44999999999999996,6.15,3.15,1.05,,2804.5,0.43500000000000005,0.22999999999999998,1.55,20,69.5,0.215,1.5,31.5,305.55,47.45,0.4,60,89.75,5542,,,,,,,,
01.1.7.2.001/2/3,75,Kol/kubis,SAYUR-SAYURAN,tkpi,DR044; DR114,40,1.95,0.65,6.65,2.65,1.55,,5022.5,0.23,0.085,0.25,33,73,0.595,1.95,40.5,168.4,39.15,0.44999999999999996,75,89.30000000000001,80,,,,,,,,
01.1.7.1.016,76,Sawi putih (petsai),SAYUR-SAYURAN,tkpi,DR142,9,1,0.1,1.7,0.8,0.6,0,862,0.05,0.18,0.4,3,56,0.05,1.1,42,193.1,5,0.1,79,96.6,832,,,,,,,,
01.1.7.1.015,77,Sawi hijau,SAYUR-SAYURAN,tkpi,DR042; DR129; DR141; DR143; DR144,26.4,1.98,0.4,3.92,2.02,1.08,0,1515.6,0.14400000000000002,0.14600000000000002,0.42,37.2,134.4,0.10400000000000001,2.4,52.6,256.94,21.06,0.38,85.8,92.68,4318.5,,,,,,,,
01.1.7.3.003,78,Buncis,SAYUR-SAYURAN,tkpi,DR013,34,2.4,0.3,7.2,1.9,0.5,0,772,0.05,0.4,2.8,11,101,0.07,0.7,42,250,8,0.3,90,89.6,550,,,,,,,,
01.1.7.3.008,79,Kacang panjang,SAYUR-SAYURAN,tkpi,DR097,31,2.3,0.1,5.3,2.7,0.5,0,125,0.7,0.1,0.3,46,60,0.1,0.6,64,213,30,0.5,92,91.8,,,,,,,,,
01.1.7.3.005,80,"Tomat sayur, tomat ceri",SAYUR-SAYURAN,tkpi,DR160; DR161; DR162,22.666666666666668,1.4333333333333333,0.4666666666666667,3.8333333333333335,1.2333333333333334,1.3,,408.3333333333333,0.060000000000000005,0.04666666666666667,0.6,24.666666666666668,6.666666666666667,0.09000000000000001,0.5,39.666666666666664,200.03333333333333,9.966666666666667,0.16666666666666669,98.33333333333333,93.3,1001,,,,,,,,
01.1.7.4.001,81,Wortel,SAYUR-SAYURAN,tkpi,DR166,36,1,0.6,7.9,1,0.6,,3784,0.04,0.04,1,18,45,0.06,1,74,245,70,0.3,80,89.9,7125,,,,,,,,
01.1.7.3.004,82,Mentimun,SAYUR-SAYURAN,tkpi,DR109; DR110; DR111,9,0.4,0.16666666666666669,1.7666666666666666,0.5333333333333333,0.4,0,20.666666666666668,0.016666666666666666,0.023333333333333334,0.1,3,21.333333333333332,0.023333333333333334,0.8,98.33333333333333,72.7,4.6,0.1,75.33333333333333,97.26666666666667,111.66666666666666,,,,,,,,
01.1.7.1.010,83,Daun ketela pohon/daun singkong,SAYUR-SAYURAN,tkpi,DR071; DR072; DR073; DR074,79.5,7.85,1.025,12.524999999999999,4.8999999999999995,1.625,0,5907.5,0.3125,0.425,2.375,159.25,206.25,0.17500000000000002,2.4,97.75,259.325,35.475,2.5500000000000003,87,76.975,10026,,,,,,,,
01.1.7.3.023/26,84,Terong,SAYUR-SAYURAN,tkpi,DR154; DR155; DR156; DR157; DR158; DR159,39.833333333333336,1.7166666666666668,0.5,7.3999999999999995,2.5833333333333335,0.7333333333333334,0,172.6,0.20666666666666667,0.115,0.4,6.5,20,0.25,0.9666666666666667,77.83333333333334,134.425,40.28,0.36,100,89.68333333333334,2175.5,,,,,,,,
01.1.7.1.017,85,Tauge,SAYUR-SAYURAN,tkpi,DR002; DR148; DR149; DR150,46.75,5.525,1.125,5.075,1.525,0.775,0,85,0.10250000000000001,0.1275,0.925,20.25,80.75,0.1625,1.2,118.75,159.375,7,0.5,95,87.5,41.25,,,,,,,,
01.1.7.3.014/15,86,"Labu, labu siam, labu parang",SAYUR-SAYURAN,tkpi,DR121; DR122; DR123; DR124,33,1,0.225,6.775,2.5,0.725,,585,0.085,0.034999999999999996,0.425,20.5,27.75,0.16749999999999998,0.7999999999999999,71.75,227.875,71.475,0.9,78.5,91.275,90,,,,,,,,
01.1.7.1.026,87,Bahan sayur sop/cap cay/ kimlo (paket),SAYUR-SAYURAN,tkpi,DP053,27,1.3,2,1,0.3,2.7,20,,0.1,,,0,168,,1.8,57,,,,100,92.7,2569,,,,,,,,
01.1.7.1.024/25,88,Bahan sayur asam/lodeh (paket),SAYUR-SAYURAN,tkpi,DP047,29,0.7,0.6,5,0.6,0.8,14,,0.1,,,0,40,,3.1,61,,,,100,93.2,2075,,,,,,,,
01.1.7.3.017,89,Nangka muda,SAYUR-SAYURAN,tkpi,DR130,57,2,0.4,11.3,8.3,0.9,,21,0.07,0.06,0.7,9,45,0.04,0.5,29,246.5,1.1,0.1,80,85.4,25,,,,,,,,
01.1.7.3.020,90,Pepaya muda,SAYUR-SAYURAN,tkpi,DR133,29,2.1,0.1,4.9,2.1,0.6,,0,0.02,0.03,0.3,19,50,0.01,0.4,16,211.2,21.9,0,65,92.3,50,,,,,,,,
01.1.7.3.022,91,Jengkol,SAYUR-SAYURAN,tkpi,DR093,192,5.4,0.3,40.7,1.5,0.9,,,0.05,0.2,0.5,31,4,0.3,0.7,150,241,60,0.6,95,52.7,,,,,,,,,
01.1.7.4.006,92,Bawang merah,SAYUR-SAYURAN,tkpi,NR007,46,1.5,0.3,9.2,1.7,1,,2,0.03,0.04,0.2,2,36,0.06,0.8,40,178.6,7,0.2,90,88,,,,,,,,,
01.1.7.4.007,93,Bawang putih,SAYUR-SAYURAN,tkpi,NR008,112,4.5,0.2,23.1,0.6,1.8,,0,0.22,0.07,0.3,15,42,0.09,1,134,665.7,46,0.4,88,71,,,,,,,,,
