food_item_id_urut,n_records,median_g_day,max_g_day,n_implausible_volume,median_r_protein,median_r_energy,suspect_misclassification,n_implausible_fct,implausible_nutrient,value,median_across_items
36,31,14.285714285714286,178.57142857142858,2,0.35039304076134764,NA,TRUE,0,NA,NA,NA
102,1485,23.809523809523807,285.7142857142857,2,0.36454849498327757,0.34782608695652173,TRUE,0,NA,NA,NA
166,868,12.857142857142858,240,2,0.49420289855072463,2.0101839185286514,TRUE,0,NA,NA,NA
177,388,14.285714285714286,500,2,NA,2.12890625,TRUE,0,NA,NA,NA
4,231,35.714285714285715,380.9523809523809,1,0.22509803921568627,0.24571428571428572,TRUE,0,NA,NA,NA
30,11,20.408163265306122,214.28571428571428,1,0.4835220125786163,NA,TRUE,0,NA,NA,NA
167,150,9.523809523809524,114.28571428571429,1,0.3883495145631068,0.49199812045661845,TRUE,0,NA,NA,NA
178,364,14.285714285714286,171.42857142857142,1,0,0.6341896302372407,TRUE,0,NA,NA,NA
24,28,47.61904761904761,190.47619047619045,0,0.37502439024390244,NA,TRUE,0,NA,NA,NA
27,13,23.809523809523807,89.28571428571429,0,0.44672015233614737,NA,TRUE,0,NA,NA,NA
46,1,14.285714285714286,14.285714285714286,0,2.2634146341463413,NA,TRUE,0,NA,NA,NA
50,10,11.666666666666666,28.571428571428573,0,3.3391002653410524,NA,TRUE,0,NA,NA,NA
51,2,11.488095238095237,11.904761904761903,0,2.2206097580323823,NA,TRUE,0,NA,NA,NA
60,1,8.928571428571429,8.928571428571429,0,0.8874285714285715,0.46886446886446886,TRUE,0,NA,NA,NA
88,31,9.523809523809524,28.571428571428573,0,2,2.0000000000000004,TRUE,0,NA,NA,NA
149,116,5.357142857142857,50,0,0.7460674157303371,0.46555779569892475,TRUE,0,NA,NA,NA
153,3662,34.285714285714285,171.42857142857142,0,0.457089552238806,0.684322033898305,TRUE,0,NA,NA,NA
157,284,2.380952380952381,21.428571428571427,0,5.612903225806451,1.468013468013468,TRUE,0,NA,NA,NA
163,183,16.666666666666668,150,0,0.41161315131705417,0.4794994786235662,TRUE,0,NA,NA,NA
139,802,0.40816326530612246,5,2,0.9590846047156741,1.200000000000002,FALSE,4,sodium,6028.6,60
139,802,0.40816326530612246,5,2,0.9590846047156741,1.200000000000002,FALSE,4,calcium,1076.16666666667,48.4323324541285
139,802,0.40816326530612246,5,2,0.9590846047156741,1.200000000000002,FALSE,4,iron,18.9833333333333,1.62772931506849
139,802,0.40816326530612246,5,2,0.9590846047156741,1.200000000000002,FALSE,4,ash,13.3666666666667,1.05
96,3647,4.761904761904762,47.61904761904761,0,1.0012515644555695,0.8588235294117647,FALSE,4,total_carotene,11050,303.77450980392155
96,3647,4.761904761904762,47.61904761904761,0,1.0012515644555695,0.8588235294117647,FALSE,4,beta_carotene,1694,22.625
96,3647,4.761904761904762,47.61904761904761,0,1.0012515644555695,0.8588235294117647,FALSE,4,vitamin_c,70,1
96,3647,4.761904761904762,47.61904761904761,0,1.0012515644555695,0.8588235294117647,FALSE,4,fiber,15.2,1.5
