year,province,district,fish_group,species,sector,volume_ton,value_rp_million,price_rp_kg
2020,MALUKU UTARA,HALMAHERA TIMUR,TONGKOL,TONGKOL KOMO,LAUT,513.55,10271,20000
2020,MALUKU UTARA,KEPULAUAN SULA,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,477.22,9544,20000
2020,MALUKU UTARA,PULAU TALIABU,BARONANG,BARONANG,LAUT,476.53,11913,25000
2020,MALUKU UTARA,HALMAHERA BARAT,CUMI-CUMI,CUMI-CUMI,LAUT,474.24,6639,14000
2020,MALUKU UTARA,HALMAHERA TIMUR,KAKAP,KAKAP MERAH,LAUT,471.95,11209,23750
2020,MALUKU UTARA,HALMAHERA TIMUR,BAYEMAN,KAKAKTUA PUTIH,LAUT,459.21,11480,25000
2020,MALUKU UTARA,HALMAHERA SELATAN,TENGGIRI,TENGGIRI BATANG; TENGGIRI INDIA,LAUT,457.2,9144,20000
2020,MALUKU UTARA,KOTA TERNATE,BARONANG,BARONANG,LAUT,453.76,10790,23779
2020,MALUKU UTARA,HALMAHERA UTARA,BARONANG,BARONANG ANGIN,LAUT,452.43,9049,20000
2020,MALUKU UTARA,KOTA TERNATE,KAKAP,KAKAP PUTIH; BARAMUNDI,LAUT,452.11,11303,25000
2020,MALUKU UTARA,PULAU MOROTAI,KACI-KACI,KAKAP PUTIH,LAUT,450.89,11183,24802
2020,MALUKU UTARA,KOTA TERNATE,KAKAP,KAKAP MERAH,LAUT,445.32,12434,27921
2020,MALUKU UTARA,KEPULAUAN SULA,CUMI-CUMI,CUMI-CUMI,LAUT,442.29,4976,11250
2020,MALUKU UTARA,HALMAHERA TIMUR,TENGGIRI,TENGGIRI PAPAN,LAUT,436.17,10904,25000
2020,MALUKU UTARA,HALMAHERA UTARA,KUWE,KUWE SIRIP KUNING,LAUT,432.3,10808,25000
2020,MALUKU UTARA,HALMAHERA UTARA,TONGKOL,TONGKOL KOMO,LAUT,432.01,8177,18927
2020,MALUKU UTARA,HALMAHERA BARAT,TONGKOL,TONGKOL ABU-ABU,LAUT,431.94,8639,20000
2020,MALUKU UTARA,KEPULAUAN SULA,KERAPU,KERAPU KARANG,LAUT,430.24,10756,25000
2020,MALUKU UTARA,KEPULAUAN SULA,BARONANG,BARONANG ANGIN,LAUT,423.92,8478,20000
2020,MALUKU UTARA,PULAU TALIABU,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,420.41,8408,20000
2020,MALUKU UTARA,KOTA TERNATE,KEMBUNG,KEMBUNG LELAKI,LAUT,410.8,8216,20000
2020,MALUKU UTARA,KEPULAUAN SULA,SWANGGI,SWANGGI,LAUT,410.27,9744,23750
2020,MALUKU UTARA,PULAU TALIABU,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,410.02,8200,20000
2020,MALUKU UTARA,PULAU MOROTAI,TENGGIRI,TENGGIRI,LAUT,404.64,10116,25000
2020,MALUKU UTARA,KOTA TERNATE,SELAR,SELAR BENTONG,LAUT,400.53,8011,20000
2020,MALUKU UTARA,PULAU TALIABU,EKOR KUNING,LOLOSI PAPAN,LAUT,380.76,11984,31474
2020,MALUKU UTARA,HALMAHERA TIMUR,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,380.3,7131,18750
2020,MALUKU UTARA,HALMAHERA TIMUR,SELAR,SELAR BENTONG,LAUT,371.9,7438,20000
2020,MALUKU UTARA,HALMAHERA UTARA,BIJI NANGKA,KUNIRAN; BIJI NANGKA,LAUT,352.72,7054,20000
