aqua,hh_id,hh_id_data_link,iron_standardized_weekly_member_total,zinc_standardized_weekly_member_total,niacin_standardized_weekly_member_total,edible_weekly_member_total
nonaquatic,65343,313988,0.5675203067972289,0.569460213049173,0.7029501389330616,4922.942777777776
nonaquatic,65412,310639,0.4594772953625895,0.4039937435897435,0.6460177394695245,4190.205555555556
nonaquatic,65466,311035,0.39799291738002784,0.3498522271664739,1.5946990936353056,3279.142361111111
nonaquatic,65566,312119,0.8368967308603292,0.8694748555173224,0.8356574616358162,10652.136296296296
nonaquatic,65672,309479,0.45832210084228253,0.4131675640897114,0.5566075548081433,3949.456695156695
nonaquatic,65894,314235,1.0467608708244358,0.8694752163369964,1.1051117287535317,8398.494957264957
nonaquatic,65917,310318,0.7028010311721589,0.5956059628181343,3.909387805616054,25293.043333333335
nonaquatic,65983,310553,0.49944744397905094,0.3734837646423752,0.8125292189818032,3645.4875213675214
nonaquatic,66031,311473,0.6329065146050655,0.5419318496336998,2.4112076994764484,4619.728333333333
nonaquatic,66120,312997,0.30070735760971057,0.2805545299145299,2.890240306122448,2323.4055555555556
nonaquatic,66246,312803,0.48768523045408657,0.44392819863265987,2.5051953488655814,4153.89619047619
nonaquatic,66290,312025,0.7845017117958296,0.647653217893218,0.9587842592592591,7631.466666666668
nonaquatic,66492,310353,0.6471681797533829,0.6392883368742371,0.8932518222474171,15168.075925925928
nonaquatic,66556,314125,0.658671705116155,0.5290838899196042,0.7518077402238885,3333.3333333333335
nonaquatic,66639,309593,0.6980578739829264,0.46139300905808506,0.5757260692125336,5881.783333333334
nonaquatic,66828,310838,0.33706996527777794,0.3279724623560961,0.4437374539399089,3004.7354166666664
nonaquatic,67053,310431,1.0834299509803926,1.0766085556776557,1.6742054591836713,9920.283333333333
nonaquatic,67155,309994,0.6967495689115514,0.7099681665001667,0.682601374882292,5820.143333333333
nonaquatic,67308,313634,0.846534973818979,0.6996358090480947,0.8445303405589111,6238.158333333333
nonaquatic,67346,309564,0.3912685714285715,0.38349120879120874,0.48008051020408116,2814.8533333333335
nonaquatic,67828,313134,0.6402677497665735,0.6708237948717947,3.9791870113378667,4653.986666666666
nonaquatic,67963,312158,0.5266659769463342,0.44099765262515267,0.5535914777021913,7031.783333333333
nonaquatic,67981,311172,0.6881418845315908,0.709970697191697,0.8893853363567642,7862.200000000001
nonaquatic,68221,313495,0.6581226147736523,0.6895788001012321,0.8329975172858879,5654.822666666666
nonaquatic,68222,310735,0.6322571874583168,0.5839898426989677,7.316753718949701,6334.5375
nonaquatic,68223,309851,0.2863939735894359,0.31622351648351643,0.3935427891156457,2431.5133333333333
nonaquatic,68265,310726,0.3655113881266793,0.4048911396052927,0.5532709994572966,4487.190476190476
nonaquatic,68271,312506,0.5782733973964972,0.6280732978452803,0.7430361719562116,11419.275473137974
nonaquatic,68279,309390,0.5116974461051123,0.5234252183577824,1.7533386939966,3494.597493395494
nonaquatic,68285,313877,0.7518040369757243,0.7715595575349564,1.9715489879034553,4624.761880341881
nonaquatic,68340,311242,0.5743799544854425,0.6276921465376729,0.6632752428781323,9191.418803418803
nonaquatic,68344,309420,0.8385518169974545,0.8734287145646168,1.055673245035523,8019.187891737891
nonaquatic,68380,309113,0.6561555732230777,0.5467940185766613,0.9270170147973712,6907.166666666666
nonaquatic,68386,312635,0.7153507748575623,0.6964056475555059,0.860050373918274,5518.190238095238
nonaquatic,68399,311212,0.5555755835667601,0.5299378150183152,2.813899376417233,4622.208333333334
nonaquatic,68402,312616,0.3134068627450981,0.35115857142857154,0.4303877551020403,13464.25
nonaquatic,68418,312244,0.5024716390231041,0.6085972451689468,0.6481469297833817,4963.574404761905
nonaquatic,68484,309402,0.5561104489646599,0.5866890163742691,0.7490572872748532,5414.826495726496
nonaquatic,68516,314253,0.5050182495769736,0.46889533188203636,0.5633607321879768,3909.5260476190474
nonaquatic,68522,311928,0.3096992763772176,0.30000354761904763,0.42905734126984074,3064.625
nonaquatic,68563,312233,0.47185399031613906,0.39915412587276666,0.5295758994260331,5382.271428571428
nonaquatic,68566,312949,0.5936800142279137,0.6053691819291819,3.0382868858654564,4539.4000000000015
nonaquatic,68593,311359,0.35319075863824806,0.37423192581453635,0.49591947975277806,2568.050854700854
nonaquatic,68603,312526,1.0982483251131094,0.8676876190476194,1.4116338661175547,14591.33333333333
nonaquatic,68614,309218,0.4559230233426705,0.41830187252747253,0.6368394189342401,4125.251666666667
nonaquatic,68625,310475,0.4981935072362279,0.5430157434065934,1.8077564654194993,4015.952777777778
nonaquatic,68630,312859,0.4177380913476503,0.3848250525585526,1.5308838199168546,4103.719444444445
nonaquatic,68674,313459,0.36026036747228624,0.34785124558365604,0.45097590385741654,2935.0882621082624
nonaquatic,68686,311232,0.48395056085741794,0.46761443528693525,0.6399119190276016,4168.888888888888
nonaquatic,68761,312860,0.7645344070961717,0.6859890354090356,3.7945937074829925,5839.666666666667
nonaquatic,68846,311095,0.3393433364456895,0.2756306349206349,0.3823370370370366,3175.0499999999997
nonaquatic,68959,311243,0.3694200902583257,0.36169574314574315,0.5424234221466356,2813.966666666667
nonaquatic,68981,313075,0.6326793650793652,0.6245544322344324,4.166839795918366,5335.288888888889
nonaquatic,68985,313200,0.6427189162331605,0.6340233663003663,4.4990669075963705,4512.516666666666
nonaquatic,69064,311330,1.0694562574952335,1.3573240326340332,1.3802935454756877,9529.533333333333
nonaquatic,69820,311418,0.6135625933706818,0.5176744205860806,0.7440796482168617,4113.946
nonaquatic,69878,309628,0.2731961863900581,0.3033016117216117,0.3895319122841439,4852.791666666666
nonaquatic,69931,309104,0.6541609643857546,0.6701284415584418,0.6423346088435368,4432.375
nonaquatic,69956,312980,0.5062433053221291,0.5246645362637362,1.1900866666666656,3958.5733333333333
nonaquatic,69978,313305,1.0512102046906628,0.7909574747483809,3.5978378724231694,9410.357619047618
nonaquatic,70024,309656,0.4474038815526211,0.4443403252747252,0.5520423469387749,4063.0066666666667
nonaquatic,70281,309219,0.6743768545792511,0.6652205437459031,1.0318353188179834,5336.3240598290595
nonaquatic,70363,310149,0.6193871101803241,0.5496456522284734,2.5247426239046495,4569.348376068376
nonaquatic,70384,312850,1.2933565443458444,1.1244167500850628,3.3596304556903283,14421.237301587302
nonaquatic,70455,313691,0.6469176138302943,0.6111029006612435,0.7680303780311679,5106.611666666666
nonaquatic,70468,311419,0.8429100167590978,0.688184808193561,0.9182478571377191,5974.807606837606
nonaquatic,70469,310533,0.5848597007484252,0.42986738002699054,1.211418298346882,4335.840854700855
